Price,Close
Ticker,AAPL
Date,
2023-05-01,167.8968048095703
2023-05-02,166.85728454589844
2023-05-03,165.7781524658203
2023-05-04,164.13475036621094
2023-05-05,171.83706665039062
2023-05-08,171.7677459716797
2023-05-09,170.0550537109375
2023-05-10,171.8271484375
2023-05-11,172.01527404785156
2023-05-12,171.08335876464844
2023-05-15,170.58767700195312
2023-05-16,170.58767700195312
2023-05-17,171.2023162841797
2023-05-18,173.54202270507812
2023-05-19,173.65103149414062
2023-05-22,172.69932556152344
2023-05-23,170.0820770263672
2023-05-24,170.3596649169922
2023-05-25,171.499755859375
2023-05-26,173.91873168945312
2023-05-30,175.7726287841797
2023-05-31,175.72303771972656
2023-06-01,178.53857421875
2023-06-02,179.39117431640625
2023-06-05,178.03297424316406
2023-06-06,177.66615295410156
2023-06-07,176.2881622314453
2023-06-08,179.0144500732422
2023-06-09,179.4010772705078
2023-06-12,182.20669555664062
2023-06-13,181.7308349609375
2023-06-14,182.3653106689453
2023-06-15,184.40756225585938
2023-06-16,183.3269805908203
2023-06-20,183.41619873046875
2023-06-21,182.375244140625
2023-06-22,185.38905334472656
2023-06-23,185.07180786132812
2023-06-26,183.67396545410156
2023-06-27,186.43992614746094
2023-06-28,187.61968994140625
2023-06-29,187.95675659179688
2023-06-30,192.2990264892578
2023-07-03,190.80203247070312
2023-07-05,189.68174743652344
2023-07-06,190.1576385498047
2023-07-07,189.037353515625
2023-07-10,186.98519897460938
2023-07-11,186.4597625732422
2023-07-12,188.1352081298828
2023-07-13,188.8985595703125
2023-07-14,189.0472869873047
2023-07-17,192.31881713867188
2023-07-18,192.06106567382812
2023-07-19,193.4192657470703
2023-07-20,191.4662628173828
2023-07-21,190.28651428222656
2023-07-24,191.0895233154297
2023-07-25,191.95204162597656
2023-07-26,192.82444763183594
2023-07-27,191.55545043945312
2023-07-28,194.1429901123047
2023-07-31,194.7576446533203
2023-08-01,193.92489624023438
2023-08-02,190.92098999023438
2023-08-03,189.5231475830078
2023-08-04,180.42222595214844
2023-08-07,177.3092803955078
2023-08-08,178.2510986328125
2023-08-09,176.6549530029297
2023-08-10,176.43685913085938
2023-08-11,176.4964141845703
2023-08-14,178.15426635742188
2023-08-15,176.1588897705078
2023-08-16,175.28529357910156
2023-08-17,172.73399353027344
2023-08-18,173.22042846679688
2023-08-21,174.56060791015625
2023-08-22,175.9404754638672
2023-08-23,179.80218505859375
2023-08-24,175.0966796875
2023-08-25,177.31045532226562
2023-08-28,178.87896728515625
2023-08-29,182.78033447265625
2023-08-30,186.28465270996094
2023-08-31,186.50308227539062
2023-09-01,188.08151245117188
2023-09-05,188.31976318359375
2023-09-06,181.5791473388672
2023-09-07,176.26808166503906
2023-09-08,176.88357543945312
2023-09-11,178.05499267578125
2023-09-12,175.0172576904297
2023-09-13,172.94247436523438
2023-09-14,174.46131896972656
2023-09-15,173.73663330078125
2023-09-18,176.67510986328125
2023-09-19,177.76712036132812
2023-09-20,174.21315002441406
2023-09-21,172.66448974609375
2023-09-22,173.51824951171875
2023-09-25,174.7988739013672
2023-09-26,170.70883178710938
2023-09-27,169.18995666503906
2023-09-28,169.4480743408203
2023-09-29,169.9642791748047
2023-10-02,172.4857940673828
2023-10-03,171.1456298828125
2023-10-04,172.396484375
2023-10-05,173.6373748779297
2023-10-06,176.1986083984375
2023-10-09,177.6876983642578
2023-10-10,177.09205627441406
2023-10-11,178.49180603027344
2023-10-12,179.3951873779297
2023-10-13,177.54873657226562
2023-10-16,177.41964721679688
2023-10-17,175.86105346679688
2023-10-18,174.56060791015625
2023-10-19,174.183349609375
2023-10-20,171.62216186523438
2023-10-23,171.74127197265625
2023-10-24,172.17808532714844
2023-10-25,169.8551025390625
2023-10-26,165.67572021484375
2023-10-27,166.9960479736328
2023-10-30,169.0509796142578
2023-10-31,169.5275115966797
2023-11-01,172.70420837402344
2023-11-02,176.2780303955078
2023-11-03,175.3647003173828
2023-11-06,177.92593383789062
2023-11-07,180.4971160888672
2023-11-08,181.559326171875
2023-11-09,181.0828094482422
2023-11-10,185.2875518798828
2023-11-13,183.6970977783203
2023-11-14,186.32135009765625
2023-11-15,186.88795471191406
2023-11-16,188.5778045654297
2023-11-17,188.55792236328125
2023-11-20,190.30740356445312
2023-11-21,189.5022430419922
2023-11-22,190.16824340820312
2023-11-24,188.8362579345703
2023-11-27,188.65731811523438
2023-11-28,189.263671875
2023-11-29,188.23983764648438
2023-11-30,188.81637573242188
2023-12-01,190.0986785888672
2023-12-04,188.29946899414062
2023-12-05,192.26565551757812
2023-12-06,191.17222595214844
2023-12-07,193.11058044433594
2023-12-08,194.5419921875
2023-12-11,192.02708435058594
2023-12-12,193.54798889160156
2023-12-13,196.77857971191406
2023-12-14,196.9276580810547
2023-12-15,196.39089965820312
2023-12-18,194.72091674804688
2023-12-19,195.7646484375
2023-12-20,193.66725158691406
2023-12-21,193.51812744140625
2023-12-22,192.444580078125
2023-12-26,191.8978729248047
2023-12-27,191.99728393554688
2023-12-28,192.4247283935547
2023-12-29,191.38095092773438
2024-01-02,184.53207397460938
2024-01-03,183.15037536621094
2024-01-04,180.82435607910156
2024-01-05,180.09869384765625
2024-01-08,184.4525604248047
2024-01-09,184.03506469726562
